County,Parent Agency ID,Partner Agency Program No.,Partner Agency Name,c_Address,c_City,c_Post_Code,c_Delivery_Info,Partner Agency Type,FoodFinder-Table1.sl_phone
VANCE,D1001,D1001FP,ACTS of Vance County,201 S William St,Henderson,27536,Food Box pick up Tuesday and Thursday 8:30AM to 9:30AM. Please call by 9:00 any day to be added to the list,FOODPANTRY,252.492.8231
VANCE,D1001,D1001SK,ACTS of Vance County,201 S William St,Henderson,27536,Lunch 11:00AM to 12:00PM,SOUP KITCH,252-492-8231
CHATHAM,D1005,D1005FP,Alston Chapel United Holy,1832 Alston Chapel Rd,Pittsboro,27312,MWF 12:45-1:30pm; 3rd Wednesday (Food Bags); Saturdays at 12:45-1:30 pm; Sundays 12:30-1 pm,FOODPANTRY,919-542-4111
VANCE,D1006,D1006FP,Anathoth House,315 Dabney Dr,Henderson,27536,"Last Tuesday of the month from 10:00AM to 12:00PM, or  pick up by appointment please call or text (301)751-4870",FOODPANTRY,3017514870
GRANVILLE,D1008,D1008FP,Area Congregations in Ministry,634 Roxboro Rd,Oxford,27565,M 4:30- 6:30 pm. WF/9am-12pm,FOODPANTRY,919-690-0961
DURHAM,D1009,D1009FP,Believers United for Progress,1306 Fayetteville St,Durham,27707,Tuesdays 10:00am - 1:00pm,FOODPANTRY,919-381-8519
DURHAM,D1010,D1010FP,Bell-Yeager,128 E Cornwallis Rd,Durham,27707,Wednesday 10:00am - 1:00pm,FOODPANTRY,919-599-6143
GRANVILLE,D1011,D1011FP,Belton Creek Baptist Church,4153 Hwy 96 S,Oxford,27565,Fridays from 11:00AM to 12:00PM,FOODPANTRY,919-693-1727
DURHAM,D1013,D1013FP,Birchwood Learning Center,416 Walton St,Durham,27703,1st & 3rd Tuesday and Wednesday of each month,FOODPANTRY,919-598-9885
VANCE,D1015,D1015FP,Brookston Baptist Church,242 Baptist Church Rd,Henderson,27537,2nd Tuesday 1-2:30 and Appointment only,FOODPANTRY,252-767-3084
DURHAM,D1018,D1018FP,Catholic Charities - Durham Community Food Pantry,2020 Chapel Hill Rd Ste 30,Durham,27707,"Wednesday 10:00am-1:00pm and 5:00pm-7:00pm, Tursday 10:00am-1:00pm",FOODPANTRY,919-286-1964
ORANGE,D1019,D1019FP,Cedar Grove Mt Zion AME Church,5124 NC HIGHWAY 86 N,Hillsborough,27278,"3rd Friday/month 9:30-11am, and as needed",FOODPANTRY,919-732-5450
CHATHAM,D1020,D1020FP,Chatham Out-Reach Alliance,40 Camp Dr,Pittsboro,27312,Walk In Choice Food Pantry Monday-Thursday 10:00AM -2:00PM. Drive Thru pick up Friday 10:00AM- 12:00PM,FOODPANTRY,919-542-5020
DURHAM,D1021,D1021FP,Christian Assembly Emergency,5516 N Roxboro Rd,Durham,27713,"2nd, 4th Thursdays, 4pm to 6pm",FOODPANTRY,919-471-0220
GRANVILLE,D1022,D1022FP,Christian Faith Center,101 Peachtree St,Creedmoor,27522,"Thursdays, 12-2pm",FOODPANTRY,919-528-1581
PERSON,D1023,D1023FP,The Christian Help Center of Person County,122 Depot St,Roxboro,27573,"M, W, and F 9:00AM to 11:45AM",FOODPANTRY,336-599-6070
