,Parent,Avg_Monthly_Supply,Parent Agency No.,Name
0,D1001,9539.738095238095,D1001,ACTS of Vance County  
1,D1002,5479.411904761905,D1002,Alliance Rehabilitative Care - Men Halfway House
2,D1003,3849.5,D1003,CSFP - Passmore Center (Orange  
3,D1004,115.0,D1004,SFSP - RTP Kids Place  
4,D1005,9718.623333333333,D1005,Alston Chapel United Holy Church
5,D1006,1207.5555555555557,D1006,Anathoth House  
6,D1007,476.94117647058823,D1007,Another Chance For  
7,D1008,81842.89916666667,D1008,Area Congregations in Ministry  
8,D1009,4071.0833333333335,D1009,Believers United for Progress New Visions of Africa
9,D1010,8460.229166666666,D1010,Bell-Yeager  
10,D1011,5792.833333333333,D1011,Belton Creek Baptist Church  
11,D1012,6681.739130434783,D1012,Big Ruin Creek Baptist  
12,D1013,1426.0217391304348,D1013,Birchwood Learning Center  
13,D1014,965.7142857142857,D1014,Boys and Girls Club of Greater Durham
14,D1015,8287.84625,D1015,ata  
15,D1017,638.5714285714286,D1017,Calvary Temple Holy Church  
16,D1018,4145.729166666667,D1018,Catholic Charities Durham Community Food Pantry
17,D1019,8493.02125,D1019,Cedar Grove Mt. Zion AME Church
18,D1020,60913.59855263158,D1020,Chatham Out-Reach Alliance (CORA)
19,D1021,6247.035416666667,D1021,Christian Assembly Emergency Food Pantry
20,D1022,7116.788333333333,D1022,Christian Faith Center of Creedmoor
21,D1023,19892.946666666667,D1023,Christian Help Center  
22,D1024,2509.237,D1024,Church of God of Prophecy  
23,D1025,5188.8,D1025,Church of Philadelphia  
24,D1026,2502.625,D1026,CIP Communities In Partnership
25,D1027,5804.406666666667,D1027,Cokesbury United  
26,D1029,7064.494166666666,D1029,Cotton Memorial Presbyterian Church
27,D1030,10527.5,D1030,DD-Carr United Methodist Church
28,D1032,5482.944444444444,D1032,DD-Oldham Towers Senior Bldg.  
29,D1033,3315.325,D1033,Divine Grace Fellowship Outreach Ministry
30,D1035,3861.369565217391,D1035,Durham Center For Senior Life  
31,D1036,72.16666666666667,D1036,Durham Crisis Response Center  
32,D1037,162.25,D1037,Durham Exchange Club Industries
33,D1038,22270.472222222223,D1038,Durham Rescue Mission Ministries  
34,D1039,2640.8260869565215,D1039,CSFP - Seymour Center  
35,D1040,1102.8181818181818,D1040,Durham Tech Community College Harvest Food Pantry
36,D1041,1670.7083333333333,D1041,Emanuel Tabernacle Holiness Church
37,D1042,728.3888888888889,D1042,Evergreen UMC -  
38,D1043,7495.875,D1043,Faith Gospel Tabernacle United Holy Church
39,D1044,380.5,D1044,DD-Father Son Holiness Church  
40,D1045,24692.351322463768,D1045,Feed My Sheep of Durham Food Pantry
41,D1047,47091.79083333333,D1047,First Baptist Church Creedmoor
42,D1048,11245.857142857143,D1048,First Baptist Church Of  
43,D1049,1116.0,D1049,First Calvary Baptist Church  
44,D1050,15600.084166666667,D1050,Fisher Memorial United Holy Church
45,D1051,729.0,D1051,Fitts-Powell Apts  
46,D1053,178.0,D1053,For The Greater Good 5  
47,D1054,5358.0,D1054,Freedom House  
48,D1055,604.1428571428571,D1055,SP - W.G. Pearson Magnet  
49,D1056,23328.643131313132,D1056,Friends of Orange County DSS  
50,D1057,1202.5882352941176,D1057,DD-FTHOP  
51,D1059,29607.084106280192,D1059,Gang Free INC  
52,D1060,2700.25,D1060,DD-Grace and Peace Tabernacle  
53,D1062,18154.4725,D1062,Grace Outreach Enrichment Ministry
54,D1063,438.3333333333333,D1063,Greater Deliverance Tabernacle  
55,D1064,11550.770833333334,D1064,Hannah's Community Kitchen  
56,D1065,2879.345652173913,D1065,Greater Ransom Way of the Cross Temple
57,D1066,714.7727272727273,D1066,Greater Refuge Temple  
58,D1067,1032.6666666666667,D1067,Group Homes Inc  
59,D1068,3779.6666666666665,D1068,WPP - Burton Geo-World Magnet  
60,D1069,150.0,D1069,WPP - Eastway Elemen School  
61,D1070,6903.0,D1070,WPP - Walnut Grove United  
62,D1071,6317.518181818182,D1071,Haw River Baptist Church  
63,D1072,16170.436488095238,D1072,Healing With CAARE  
64,D1073,15049.052916666667,D1073,Hillsborough Church Of God  
65,D1074,2341.0,D1074,Hope Church International  
66,D1075,20904.0,D1075,Iglesia Presbiteriana Emanuel First Presbyterian Church
67,D1076,10934.531739130436,D1076,Immanuel Temple SDA Community Services
68,D1077,8363.463333333333,D1077,Inter-Faith Council Food Pantry in Chapel Hill
69,D1078,584.2272727272727,D1078,CSFP - Hannah's Comm. Kitchen  
70,D1079,691.5555555555555,D1079,Jamaat Ibad Ar Rahman  
71,D1080,733.7142857142857,D1080,Jesus Word Church  
72,D1081,249.75,D1081,Jewish Family Services  
73,D1082,7257.397727272728,D1082,CSFP - JFK Towers  
